400,Paul Millsap,200,/players/m/millspa01.html,29,64,64,33.1,6.2,12.8,.480,1.1,3.0,.358,5.1,9.8,.517,3.5,4.8,.747,1.9,6.0,8.0,3.0,1.7,0.9,2.4,2.8,16.9
401,Kyle Korver,200,/players/k/korveky01.html,33,64,64,32.7,4.0,8.0,.496,3.0,6.0,.501,1.0,2.0,.481,1.4,1.6,.902,0.2,3.9,4.1,2.5,0.7,0.5,1.5,1.9,12.4
402,DeMarre Carroll,200,/players/c/carrode01.html,28,57,56,31.4,4.3,9.0,.475,1.7,4.3,.397,2.5,4.6,.547,1.8,2.4,.719,1.4,3.8,5.2,1.5,1.4,0.2,1.0,2.3,12.0
403,Jeff Teague,200,/players/t/teaguje01.html,26,61,60,31.1,5.8,12.5,.461,1.0,3.0,.339,4.7,9.5,.500,4.1,4.7,.872,0.3,2.1,2.4,7.2,1.7,0.5,2.8,2.0,16.6
404,Al Horford,200,/players/h/horfoal01.html,28,63,63,30.8,6.8,12.7,.536,0.2,0.5,.323,6.6,12.2,.544,1.6,2.0,.775,1.7,5.7,7.4,3.3,0.9,1.3,1.3,1.6,15.3
405,Dennis Schroder,200,/players/s/schrode01.html,21,65,7,19.4,3.5,8.2,.428,0.6,1.7,.333,3.0,6.6,.452,1.8,2.3,.810,0.3,1.7,2.0,4.1,0.7,0.0,1.9,1.6,9.4
406,Thabo Sefolosha,200,/players/s/sefolth01.html,30,45,7,19.0,1.9,4.5,.424,0.4,1.4,.292,1.5,3.1,.486,0.8,1.1,.745,1.0,3.3,4.3,1.5,1.0,0.5,0.7,1.3,5.1
407,Kent Bazemore,200,/players/b/bazemke01.html,25,60,6,16.9,1.9,4.2,.439,0.6,1.6,.392,1.2,2.6,.468,0.7,1.3,.566,0.3,2.6,2.8,1.0,0.7,0.5,1.0,1.7,5.1
408,Pero Antic,200,/players/a/anticpe01.html,32,51,3,16.3,1.6,4.7,.346,0.8,2.7,.281,0.9,2.0,.436,1.3,1.9,.677,1.0,1.9,2.9,0.8,0.2,0.3,0.8,2.1,5.3
409,Mike Scott,200,/players/s/scottmi01.html,26,62,0,15.8,2.9,6.4,.448,1.0,2.7,.353,1.9,3.7,.517,0.9,1.1,.803,0.6,2.1,2.7,1.0,0.3,0.0,0.5,1.1,7.5
410,Elton Brand,200,/players/b/brandel01.html,35,25,2,14.1,1.2,2.8,.435,0.0,0.0,,1.2,2.8,.435,0.4,0.7,.529,1.0,2.4,3.4,0.6,0.6,0.8,0.4,1.8,2.8
411,Shelvin Mack,200,/players/m/macksh01.html,24,41,0,14.1,2.0,4.9,.403,0.8,2.3,.354,1.1,2.6,.448,0.4,0.6,.739,0.1,1.1,1.3,2.5,0.4,0.0,0.9,0.6,5.2
412,John Jenkins,200,/players/j/jenkijo01.html,23,16,1,10.7,1.8,3.4,.509,0.7,1.6,.440,1.1,1.9,.567,0.5,0.5,1.000,0.0,1.7,1.7,0.3,0.1,0.0,0.4,0.6,4.7
413,Mike Muscala,200,/players/m/muscami01.html,23,25,2,9.2,1.5,2.9,.521,0.0,0.3,.125,1.5,2.6,.569,0.4,0.5,.917,1.2,1.2,2.4,0.3,0.2,0.5,0.4,0.9,3.5
414,Adreian Payne,200,/players/p/paynead01.html,23,3,0,6.3,0.7,2.3,.286,0.0,0.3,.000,0.7,2.0,.333,0.3,0.7,.500,0.3,1.0,1.3,0.0,0.3,0.0,0.0,1.3,1.7
415,Kyle Korver,201,/players/k/korveky01.html,32,71,71,33.9,4.1,8.6,.475,2.6,5.5,.472,1.5,3.1,.479,1.2,1.3,.926,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,12.0
416,Paul Millsap,201,/players/m/millspa01.html,28,74,73,33.5,6.5,14.1,.461,1.0,2.9,.358,5.5,11.3,.487,3.9,5.3,.731,2.1,6.4,8.5,3.1,1.7,1.1,2.5,2.8,17.9
417,Al Horford,201,/players/h/horfoal01.html,27,29,29,33.0,8.2,14.5,.567,0.1,0.4,.364,8.1,14.1,.572,2.0,2.9,.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,18.6
418,Jeff Teague,201,/players/t/teaguje01.html,25,79,79,32.2,5.8,13.2,.438,0.9,2.8,.329,4.8,10.3,.469,4.0,4.8,.846,0.4,2.2,2.6,6.7,1.1,0.2,2.9,2.0,16.5
419,DeMarre Carroll,201,/players/c/carrode01.html,27,73,73,32.1,4.1,8.8,.470,1.3,3.7,.362,2.8,5.1,.548,1.5,1.9,.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1
420,Louis Williams,201,/players/w/willilo02.html,27,60,7,24.1,3.3,8.2,.400,1.3,3.9,.342,2.0,4.4,.450,2.5,3.0,.849,0.2,1.9,2.1,3.5,0.8,0.1,1.5,1.1,10.4
421,Shelvin Mack,201,/players/m/macksh01.html,23,73,11,20.4,2.9,6.9,.417,0.8,2.5,.337,2.0,4.3,.464,0.9,1.0,.865,0.3,1.9,2.2,3.7,0.7,0.0,1.2,1.4,7.5
